client_id,company_name,contract_tier
CLI-0001,Global Retail Partners,Enterprise
CLI-0002,Company 2,Enterprise
CLI-0003,Company 3,Growth
CLI-0004,Company 4,Growth
CLI-0005,Company 5,Seed
CLI-0006,Company 6,Seed
CLI-0007,Company 7,Seed
CLI-0008,Company 8,Enterprise
CLI-0009,Company 9,Growth
CLI-0010,Company 10,Growth
CLI-0011,Company 11,Seed
CLI-0012,Company 12,Enterprise
CLI-0013,Company 13,Enterprise
CLI-0014,Company 14,Seed
CLI-0015,Company 15,Seed
CLI-0016,Company 16,Seed
CLI-0017,Company 17,Seed
CLI-0018,Company 18,Growth
CLI-0019,Company 19,Seed
CLI-0020,Company 20,Seed
CLI-0021,Company 21,Growth
CLI-0022,Company 22,Seed
CLI-0023,Company 23,Seed
CLI-0024,Company 24,Seed
CLI-0025,Company 25,Seed
CLI-0026,Company 26,Growth
CLI-0027,Company 27,Seed
CLI-0028,Company 28,Growth
CLI-0029,Company 29,Growth
CLI-0030,Company 30,Seed
CLI-0031,Company 31,Growth
CLI-0032,Company 32,Seed
CLI-0033,Company 33,Seed
CLI-0034,Company 34,Enterprise
CLI-0035,Company 35,Enterprise
CLI-0036,Company 36,Enterprise
CLI-0037,Company 37,Seed
CLI-0038,Company 38,Seed
CLI-0039,Company 39,Growth
CLI-0040,Company 40,Seed
CLI-0041,Company 41,Seed
CLI-0042,Company 42,Seed
CLI-0043,Company 43,Seed
CLI-0044,Company 44,Enterprise
CLI-0045,Company 45,Seed
CLI-0046,Company 46,Growth
CLI-0047,Company 47,Seed
CLI-0048,Company 48,Growth
CLI-0049,Company 49,Growth
CLI-0050,Company 50,Seed
CLI-0051,Company 51,Enterprise
CLI-0052,Company 52,Growth
CLI-0053,Company 53,Enterprise
CLI-0054,Company 54,Enterprise
CLI-0055,Company 55,Growth
CLI-0056,Company 56,Enterprise
CLI-0057,Company 57,Seed
CLI-0058,Company 58,Seed
CLI-0059,Company 59,Seed
CLI-0060,Company 60,Seed
CLI-0061,Company 61,Seed
CLI-0062,Company 62,Seed
CLI-0063,Company 63,Enterprise
CLI-0064,Company 64,Seed
CLI-0065,Company 65,Seed
CLI-0066,Company 66,Growth
CLI-0067,Company 67,Seed
CLI-0068,Company 68,Enterprise
CLI-0069,Company 69,Seed
CLI-0070,Company 70,Enterprise
CLI-0071,Company 71,Growth
CLI-0072,Company 72,Seed
CLI-0073,Company 73,Seed
CLI-0074,Company 74,Enterprise
CLI-0075,Company 75,Growth
CLI-0076,Company 76,Growth
CLI-0077,Company 77,Growth
CLI-0078,Company 78,Seed
CLI-0079,Company 79,Seed
CLI-0080,Company 80,Seed
CLI-0081,Company 81,Enterprise
CLI-0082,Company 82,Growth
CLI-0083,Company 83,Seed
CLI-0084,Company 84,Seed
CLI-0085,Company 85,Seed
CLI-0086,Company 86,Seed
CLI-0087,Company 87,Growth
CLI-0088,Company 88,Growth
CLI-0089,Company 89,Enterprise
CLI-0090,Company 90,Seed
CLI-0091,Company 91,Seed
CLI-0092,Company 92,Growth
CLI-0093,Company 93,Growth
CLI-0094,Company 94,Growth
CLI-0095,Company 95,Growth
CLI-0096,Company 96,Seed
CLI-0097,Company 97,Growth
CLI-0098,Company 98,Seed
CLI-0099,Company 99,Seed
CLI-0100,Company 100,Seed
