shipment_id,order_id,carrier_name,dispatch_date,promised_delivery_date,actual_delivery_date
SHP-ORD-00001,ORD-00001,Carrier B,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00002,ORD-00002,DHL,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00003,ORD-00003,FedEx,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00004,ORD-00004,Carrier B,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00005,ORD-00005,Carrier B,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00006,ORD-00006,DHL,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00007,ORD-00007,FedEx,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00008,ORD-00008,DHL,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00009,ORD-00009,FedEx,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00010,ORD-00010,Carrier B,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00011,ORD-00011,Carrier B,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00012,ORD-00012,FedEx,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00013,ORD-00013,DHL,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00014,ORD-00014,FedEx,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00015,ORD-00015,DHL,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00016,ORD-00016,FedEx,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00017,ORD-00017,DHL,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00018,ORD-00018,FedEx,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00019,ORD-00019,FedEx,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00020,ORD-00020,DHL,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00021,ORD-00021,FedEx,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00022,ORD-00022,DHL,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00023,ORD-00023,FedEx,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00024,ORD-00024,DHL,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00025,ORD-00025,Carrier B,2025-04-02,2025-04-07,2025-04-09
SHP-ORD-00026,ORD-00026,Carrier B,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00027,ORD-00027,Carrier B,2025-04-02,2025-04-07,2025-04-08
SHP-ORD-00028,ORD-00028,Carrier B,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00029,ORD-00029,FedEx,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00030,ORD-00030,FedEx,2025-04-02,2025-04-07,2025-04-07
SHP-ORD-00031,ORD-00031,DHL,2025-04-03,2025-04-08,2025-04-08
SHP-ORD-00032,ORD-00032,Carrier B,2025-04-03,2025-04-08,2025-04-09
SHP-ORD-00033,ORD-00033,Carrier B,2025-04-03,2025-04-08,2025-04-08
SHP-ORD-00034,ORD-00034,FedEx,2025-04-03,2025-04-08,2025-04-10
SHP-ORD-00035,ORD-00035,FedEx,2025-04-03,2025-04-08,2025-04-10
SHP-ORD-00036,ORD-00036,FedEx,2025-04-03,2025-04-08,2025-04-08
SHP-ORD-00037,ORD-00037,DHL,2025-04-03,2025-04-08,2025-04-08
SHP-ORD-00038,ORD-00038,DHL,2025-04-03,2025-04-08,2025-04-10
SHP-ORD-00039,ORD-00039,FedEx,2025-04-03,2025-04-08,2025-04-10
SHP-ORD-00040,ORD-00040,DHL,2025-04-03,2025-04-08,2025-04-10
SHP-ORD-00041,ORD-00041,DHL,2025-04-03,2025-04-08,2025-04-08
SHP-ORD-00042,ORD-00042,DHL,2025-04-03,2025-04-08,2025-04-10
SHP-ORD-00043,ORD-00043,FedEx,2025-04-04,2025-04-09,2025-04-10
SHP-ORD-00044,ORD-00044,Carrier B,2025-04-04,2025-04-09,2025-04-09
SHP-ORD-00045,ORD-00045,DHL,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00046,ORD-00046,Carrier B,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00047,ORD-00047,Carrier B,2025-04-04,2025-04-09,2025-04-09
SHP-ORD-00048,ORD-00048,FedEx,2025-04-04,2025-04-09,2025-04-10
SHP-ORD-00049,ORD-00049,FedEx,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00050,ORD-00050,DHL,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00051,ORD-00051,FedEx,2025-04-04,2025-04-09,2025-04-10
SHP-ORD-00052,ORD-00052,Carrier B,2025-04-04,2025-04-09,2025-04-09
SHP-ORD-00053,ORD-00053,DHL,2025-04-04,2025-04-09,2025-04-09
SHP-ORD-00054,ORD-00054,Carrier B,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00055,ORD-00055,FedEx,2025-04-04,2025-04-09,2025-04-09
SHP-ORD-00056,ORD-00056,FedEx,2025-04-04,2025-04-09,2025-04-10
SHP-ORD-00057,ORD-00057,DHL,2025-04-04,2025-04-09,2025-04-09
SHP-ORD-00058,ORD-00058,FedEx,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00059,ORD-00059,DHL,2025-04-04,2025-04-09,2025-04-09
SHP-ORD-00060,ORD-00060,Carrier B,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00061,ORD-00061,DHL,2025-04-04,2025-04-09,2025-04-10
SHP-ORD-00062,ORD-00062,DHL,2025-04-04,2025-04-09,2025-04-10
SHP-ORD-00063,ORD-00063,FedEx,2025-04-04,2025-04-09,2025-04-11
SHP-ORD-00064,ORD-00064,FedEx,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00065,ORD-00065,Carrier B,2025-04-05,2025-04-10,2025-04-11
SHP-ORD-00066,ORD-00066,Carrier B,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00067,ORD-00067,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00068,ORD-00068,Carrier B,2025-04-05,2025-04-10,2025-04-12
SHP-ORD-00069,ORD-00069,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00070,ORD-00070,FedEx,2025-04-05,2025-04-10,2025-04-12
SHP-ORD-00071,ORD-00071,FedEx,2025-04-05,2025-04-10,2025-04-12
SHP-ORD-00072,ORD-00072,Carrier B,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00073,ORD-00073,FedEx,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00074,ORD-00074,DHL,2025-04-05,2025-04-10,2025-04-11
SHP-ORD-00075,ORD-00075,DHL,2025-04-05,2025-04-10,2025-04-12
SHP-ORD-00076,ORD-00076,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00077,ORD-00077,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00078,ORD-00078,FedEx,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00079,ORD-00079,FedEx,2025-04-05,2025-04-10,2025-04-11
SHP-ORD-00080,ORD-00080,DHL,2025-04-05,2025-04-10,2025-04-11
SHP-ORD-00081,ORD-00081,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00082,ORD-00082,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00083,ORD-00083,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00084,ORD-00084,FedEx,2025-04-05,2025-04-10,2025-04-11
SHP-ORD-00085,ORD-00085,Carrier B,2025-04-05,2025-04-10,2025-04-11
SHP-ORD-00086,ORD-00086,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00087,ORD-00087,FedEx,2025-04-05,2025-04-10,2025-04-11
SHP-ORD-00088,ORD-00088,DHL,2025-04-05,2025-04-10,2025-04-10
SHP-ORD-00089,ORD-00089,Carrier B,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00090,ORD-00090,Carrier B,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00091,ORD-00091,FedEx,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00092,ORD-00092,DHL,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00093,ORD-00093,FedEx,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00094,ORD-00094,FedEx,2025-04-06,2025-04-11,2025-04-13
SHP-ORD-00095,ORD-00095,DHL,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00096,ORD-00096,DHL,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00097,ORD-00097,DHL,2025-04-06,2025-04-11,2025-04-13
SHP-ORD-00098,ORD-00098,FedEx,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00099,ORD-00099,FedEx,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00100,ORD-00100,DHL,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00101,ORD-00101,FedEx,2025-04-06,2025-04-11,2025-04-13
SHP-ORD-00102,ORD-00102,FedEx,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00103,ORD-00103,FedEx,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00104,ORD-00104,DHL,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00105,ORD-00105,FedEx,2025-04-06,2025-04-11,2025-04-12
SHP-ORD-00106,ORD-00106,DHL,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00107,ORD-00107,FedEx,2025-04-06,2025-04-11,2025-04-11
SHP-ORD-00108,ORD-00108,FedEx,2025-04-06,2025-04-11,2025-04-13
SHP-ORD-00109,ORD-00109,DHL,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00110,ORD-00110,FedEx,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00111,ORD-00111,DHL,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00112,ORD-00112,FedEx,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00113,ORD-00113,DHL,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00114,ORD-00114,FedEx,2025-04-07,2025-04-12,2025-04-13
SHP-ORD-00115,ORD-00115,FedEx,2025-04-07,2025-04-12,2025-04-13
SHP-ORD-00116,ORD-00116,DHL,2025-04-07,2025-04-12,2025-04-13
SHP-ORD-00117,ORD-00117,Carrier B,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00118,ORD-00118,FedEx,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00119,ORD-00119,DHL,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00120,ORD-00120,DHL,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00121,ORD-00121,DHL,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00122,ORD-00122,Carrier B,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00123,ORD-00123,FedEx,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00124,ORD-00124,Carrier B,2025-04-07,2025-04-12,2025-04-13
SHP-ORD-00125,ORD-00125,FedEx,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00126,ORD-00126,FedEx,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00127,ORD-00127,Carrier B,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00128,ORD-00128,DHL,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00129,ORD-00129,DHL,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00130,ORD-00130,DHL,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00131,ORD-00131,DHL,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00132,ORD-00132,FedEx,2025-04-07,2025-04-12,2025-04-14
SHP-ORD-00133,ORD-00133,DHL,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00134,ORD-00134,FedEx,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00135,ORD-00135,Carrier B,2025-04-07,2025-04-12,2025-04-13
SHP-ORD-00136,ORD-00136,Carrier B,2025-04-07,2025-04-12,2025-04-12
SHP-ORD-00137,ORD-00137,FedEx,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00138,ORD-00138,DHL,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00139,ORD-00139,FedEx,2025-04-08,2025-04-13,2025-04-14
SHP-ORD-00140,ORD-00140,FedEx,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00141,ORD-00141,Carrier B,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00142,ORD-00142,FedEx,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00143,ORD-00143,DHL,2025-04-08,2025-04-13,2025-04-15
SHP-ORD-00144,ORD-00144,Carrier B,2025-04-08,2025-04-13,2025-04-15
SHP-ORD-00145,ORD-00145,Carrier B,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00146,ORD-00146,DHL,2025-04-08,2025-04-13,2025-04-14
SHP-ORD-00147,ORD-00147,DHL,2025-04-08,2025-04-13,2025-04-14
SHP-ORD-00148,ORD-00148,DHL,2025-04-08,2025-04-13,2025-04-14
SHP-ORD-00149,ORD-00149,Carrier B,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00150,ORD-00150,DHL,2025-04-08,2025-04-13,2025-04-13
SHP-ORD-00151,ORD-00151,DHL,2025-04-08,2025-04-13,2025-04-14
SHP-ORD-00152,ORD-00152,FedEx,2025-04-08,2025-04-13,2025-04-15
SHP-ORD-00153,ORD-00153,FedEx,2025-04-08,2025-04-13,2025-04-15
SHP-ORD-00154,ORD-00154,DHL,2025-04-08,2025-04-13,2025-04-15
SHP-ORD-00155,ORD-00155,Carrier B,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00156,ORD-00156,Carrier B,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00157,ORD-00157,Carrier B,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00158,ORD-00158,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00159,ORD-00159,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00160,ORD-00160,Carrier B,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00161,ORD-00161,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00162,ORD-00162,FedEx,2025-04-09,2025-04-14,2025-04-14
SHP-ORD-00163,ORD-00163,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00164,ORD-00164,Carrier B,2025-04-09,2025-04-14,2025-04-14
SHP-ORD-00165,ORD-00165,FedEx,2025-04-09,2025-04-14,2025-04-14
SHP-ORD-00166,ORD-00166,Carrier B,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00167,ORD-00167,FedEx,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00168,ORD-00168,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00169,ORD-00169,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00170,ORD-00170,DHL,2025-04-09,2025-04-14,2025-04-14
SHP-ORD-00171,ORD-00171,DHL,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00172,ORD-00172,Carrier B,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00173,ORD-00173,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00174,ORD-00174,FedEx,2025-04-09,2025-04-14,2025-04-14
SHP-ORD-00175,ORD-00175,DHL,2025-04-09,2025-04-14,2025-04-14
SHP-ORD-00176,ORD-00176,FedEx,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00177,ORD-00177,FedEx,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00178,ORD-00178,FedEx,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00179,ORD-00179,Carrier B,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00180,ORD-00180,DHL,2025-04-09,2025-04-14,2025-04-15
SHP-ORD-00181,ORD-00181,DHL,2025-04-09,2025-04-14,2025-04-16
SHP-ORD-00182,ORD-00182,FedEx,2025-04-10,2025-04-15,2025-04-17
SHP-ORD-00183,ORD-00183,FedEx,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00184,ORD-00184,Carrier B,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00185,ORD-00185,DHL,2025-04-10,2025-04-15,2025-04-17
SHP-ORD-00186,ORD-00186,Carrier B,2025-04-10,2025-04-15,2025-04-15
