order_id,client_id,order_date,sku_ordered,quantity,order_status,total_amount
ORD-00001,CLI-0015,2025-04-01,SKU-H01,62,Completed,990.14
ORD-00002,CLI-0095,2025-04-01,SKU-H01,190,Completed,3034.3
ORD-00003,CLI-0032,2025-04-01,SKU-H01,164,Completed,2619.08
ORD-00004,CLI-0018,2025-04-01,SKU-006,427,Completed,24496.989999999998
ORD-00005,CLI-0014,2025-04-01,SKU-002,396,Completed,51844.31999999999
ORD-00006,CLI-0095,2025-04-01,SKU-H01,329,Completed,5254.13
ORD-00007,CLI-0012,2025-04-01,SKU-H01,352,Completed,5621.4400000000005
ORD-00008,CLI-0055,2025-04-01,SKU-H01,66,Completed,1054.02
ORD-00009,CLI-0004,2025-04-01,SKU-011,97,Completed,6309.849999999999
ORD-00010,CLI-0028,2025-04-01,SKU-011,169,Completed,10993.449999999999
ORD-00011,CLI-0065,2025-04-01,SKU-H01,358,Completed,5717.26
ORD-00012,CLI-0004,2025-04-01,SKU-Z99,337,Completed,168500.0
ORD-00013,CLI-0026,2025-04-01,SKU-H01,416,Completed,6643.52
ORD-00014,CLI-0084,2025-04-01,SKU-019,409,Completed,73452.31
ORD-00015,CLI-0070,2025-04-01,SKU-002,264,Completed,34562.88
ORD-00016,CLI-0029,2025-04-01,SKU-H01,279,Completed,4455.63
ORD-00017,CLI-0076,2025-04-01,SKU-H01,192,Completed,3066.2400000000002
ORD-00018,CLI-0001,2025-04-01,SKU-009,438,Completed,23419.86
ORD-00019,CLI-0021,2025-04-01,SKU-010,407,Completed,10024.41
ORD-00020,CLI-0055,2025-04-01,SKU-005,224,Completed,40866.56
ORD-00021,CLI-0036,2025-04-01,SKU-003,129,Completed,8995.17
ORD-00022,CLI-0028,2025-04-01,SKU-006,440,Completed,25242.8
ORD-00023,CLI-0044,2025-04-01,SKU-007,102,Completed,8972.94
ORD-00024,CLI-0012,2025-04-01,SKU-H01,244,Completed,3896.6800000000003
ORD-00025,CLI-0013,2025-04-01,SKU-H01,233,Completed,3721.01
ORD-00026,CLI-0045,2025-04-01,SKU-H01,359,Completed,5733.2300000000005
ORD-00027,CLI-0034,2025-04-01,SKU-014,463,Completed,75719.01999999999
ORD-00028,CLI-0006,2025-04-01,SKU-004,423,Completed,45104.49
ORD-00029,CLI-0059,2025-04-01,SKU-019,324,Completed,58187.16
ORD-00030,CLI-0016,2025-04-01,SKU-H01,243,Completed,3880.71
ORD-00031,CLI-0071,2025-04-02,SKU-014,200,Completed,32708.0
ORD-00032,CLI-0081,2025-04-02,SKU-014,366,Completed,59855.64
ORD-00033,CLI-0047,2025-04-02,SKU-H01,345,Completed,5509.650000000001
ORD-00034,CLI-0025,2025-04-02,SKU-005,410,Completed,74800.4
ORD-00035,CLI-0009,2025-04-02,SKU-011,73,Completed,4748.65
ORD-00036,CLI-0085,2025-04-02,SKU-015,166,Completed,21638.1
ORD-00037,CLI-0099,2025-04-02,SKU-H01,198,Completed,3162.06
ORD-00038,CLI-0011,2025-04-02,SKU-H01,487,Completed,7777.39
ORD-00039,CLI-0030,2025-04-02,SKU-011,493,Completed,32069.649999999998
ORD-00040,CLI-0013,2025-04-02,SKU-014,244,Completed,39903.759999999995
ORD-00041,CLI-0036,2025-04-02,SKU-H01,282,Completed,4503.54
ORD-00042,CLI-0082,2025-04-02,SKU-H01,477,Completed,7617.6900000000005
